Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,BIOMASS,2234
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,CCGT,10374
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,COAL,0
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,INTELEC,-1024
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,INTEW,462
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,INTFR,-1028
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,INTIFA2,-1028
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,INTIRL,400
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,INTNED,-1012
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,INTNEM,-990
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,INTNSL,1096
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,NPSHYD,582
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,NUCLEAR,4635
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,OCGT,0
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,OIL,0
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,OTHER,203
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,PS,24
FUELHH,2022-11-10T08:00:00Z,2022-11-10T07:30:00Z,2022-11-10,16,WIND,13704
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,BIOMASS,2241
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,CCGT,8934
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,COAL,0
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,INTELEC,-1022
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,INTEW,504
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,INTFR,-1030
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,INTIFA2,-1028
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,INTIRL,400
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,INTNED,-1012
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,INTNEM,-990
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,INTNSL,1096
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,NPSHYD,546
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,NUCLEAR,4631
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,OCGT,0
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,OIL,0
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,OTHER,129
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,PS,-94
FUELHH,2022-11-10T07:30:00Z,2022-11-10T07:00:00Z,2022-11-10,15,WIND,13650
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,BIOMASS,2240
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,CCGT,6810
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,COAL,0
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,INTELEC,-1024
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,INTEW,504
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,INTFR,-1030
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,INTIFA2,-1028
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,INTIRL,400
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,INTNED,-1014
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,INTNEM,-1022
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,INTNSL,1096
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,NPSHYD,495
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,NUCLEAR,4627
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,OCGT,0
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,OIL,0
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,OTHER,167
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,PS,-412
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,WIND,13641
