Station,Line,Year-Built,Grade,URL,Latitude,Longitude
Acatitla,A,1991,At-grade,/wiki/Acatitla_metro_station,19.364737,-99.005892
Aculco,8,1994,At-grade,/wiki/Aculco_metro_station,19.374069,-99.108095
AgrÃ­cola Oriental,A,1991,At-grade,/wiki/Agr%C3%ADcola_Oriental_metro_station,19.404835,-99.069901
Allende,2,1970,Underground,/wiki/Allende_metro_station,19.435514,-99.137406
Apatlaco,8,1994,At-grade,/wiki/Apatlaco_metro_station,19.379292,-99.109597
Aquiles SerdÃ¡n,7,1988,Underground,/wiki/Aquiles_Serd%C3%A1n_metro_station,19.490423,-99.19487
AragÃ³n,5,1981,At-grade,/wiki/Arag%C3%B3n_metro_station,19.451236,-99.095886
Atlalilco,"8, 12",1994,Underground,/wiki/Metro_Atlalilco,19.356134,-99.101315
Auditorio,7,1984,Underground,/wiki/Auditorio_metro_station,19.425498,-99.191995
Autobuses del Norte,5,1982,At-grade,/wiki/Autobuses_del_Norte_metro_station,19.478973,-99.140668
Balbuena,1,1969,Underground,/wiki/Balbuena_metro_station,19.42306,-99.10222
Balderas,"1, 3",1969,Underground,/wiki/Balderas_metro_station,19.42744,-99.149036
Barranca del Muerto,7,1985,Underground,/wiki/Barranca_del_Muerto_metro_station,19.360648,-99.190149
Bellas Artes,"2, 8",1970,Underground,/wiki/Bellas_Artes_metro_station_(Mexico_City),19.436243,-99.141955
Bondojito,4,1981,Elevated,/wiki/Bondojito_metro_station,19.46461,-99.111958
Bosque de AragÃ³n,B,1999,At-grade,/wiki/Bosque_de_Arag%C3%B3n_metro_station,19.458115,-99.069192
Boulevard Puerto AÃ©reo,1,1969,Underground,/wiki/Boulevard_Puerto_A%C3%A9reo_metro_station,19.41967,-99.09595
Buenavista,B,1999,Underground,/wiki/Buenavista_metro_station,19.446603,-99.153199
Calle 11,12,2012,Elevated,/wiki/Calle_11_metro_station,19.320463,-99.085734
Camarones,7,1988,Underground,/wiki/Camarones_metro_station,19.479135,-99.190063
Canal del Norte,4,1981,Elevated,/wiki/Canal_del_Norte_metro_station,19.449112,-99.116507
Canal de San Juan,A,1991,At-grade,/wiki/Canal_de_San_Juan_metro_station,19.398683,-99.059365
Candelaria,"1, 4",1969,Underground / At-grade,/wiki/Candelaria_metro_station,19.428837,-99.119511
Centro MÃ©dico,"3, 9",1980,Underground,/wiki/Centro_M%C3%A9dico_metro_station,19.406637,-99.155753
Cerro de la Estrella,8,1994,Underground,/wiki/Cerro_de_la_Estrella_metro_station,19.356012,-99.085522
Chabacano,"2, 8, 9",1970,At-grade / Underground,/wiki/Chabacano_metro_station,19.40917,-99.13556
Chapultepec,1,1969,Underground,/wiki/Chapultepec_metro_station,19.420783,-99.176288
Chilpancingo,9,1988,Underground,/wiki/Chilpancingo_metro_station,19.4059,-99.1686
Ciudad Azteca,B,2000,At-grade,/wiki/Ciudad_Azteca_metro_station,19.534595,-99.0275
Ciudad Deportiva,9,1987,Elevated,/wiki/Ciudad_Deportiva_metro_station,19.408357,-99.091229
Colegio Militar,2,1970,Underground,/wiki/Colegio_Militar_metro_station,19.449354,-99.172254
ConstituciÃ³n de 1917,8,1994,At-grade,/wiki/Constituci%C3%B3n_de_1917_metro_station,19.34593,-99.063892
Constituyentes,7,1985,Underground,/wiki/Constituyentes_metro_station,19.411858,-99.191265
Consulado,"4, 5",1981,Elevated / At-grade,/wiki/Consulado_metro_station,19.457893,-99.113932
Copilco,3,1983,Underground,/wiki/Copilco_metro_station,19.335887,-99.176652
CoyoacÃ¡n,3,1983,Underground,/wiki/Coyoac%C3%A1n_metro_station,19.361417,-99.170709
Coyuya,8,1994,At-grade,/wiki/Coyuya_metro_station,19.398521,-99.113545
Cuatro Caminos,2,1984,Underground,/wiki/Cuatro_Caminos_metro_station_(Naucalpan),19.459592,-99.215899
CuauhtÃ©moc,1,1969,Underground,/wiki/Cuauht%C3%A9moc_metro_station_(Mexico_City),19.425862,-99.154701
CuitlÃ¡huac,2,1970,Underground,/wiki/Cuitl%C3%A1huac_metro_station,19.457448,-99.182038
CulhuacÃ¡n,12,2012,Elevated,/wiki/Culhuac%C3%A1n_metro_station,19.337001,-99.10899
Deportivo 18 de Marzo,"3, 6",1979,At-grade / Underground,/wiki/Deportivo_18_de_Marzo_metro_station,19.483747,-99.126549
Deportivo OceanÃ­a,B,1999,At-grade,/wiki/Deportivo_Ocean%C3%ADa_metro_station,19.451034,-99.07917
DivisiÃ³n del Norte,3,1980,Underground,/wiki/Divisi%C3%B3n_del_Norte_metro_station,19.380021,-99.158885
Doctores,8,1994,Underground,/wiki/Doctores_metro_station,19.421612,-99.143372
Ecatepec,B,2000,At-grade,/wiki/Ecatepec_metro_station,19.515301,-99.035997
Eduardo Molina,5,1981,At-grade,/wiki/Eduardo_Molina_metro_station,19.451378,-99.105434
Eje Central,12,2012,Underground,/wiki/Eje_Central_metro_station,19.361351,-99.151416
El Rosario,"6, 7",1983,At-grade,/wiki/El_Rosario_metro_station,19.504541,-99.20002
Ermita,"2, 12",1970,At-grade / Underground,/wiki/Ermita_metro_station,19.361883,-99.142942
EscuadrÃ³n 201,8,1994,Underground,/wiki/Escuadr%C3%B3n_201_metro_station,19.36492,-99.109554
EtiopÃ­a / Plaza de la Transparencia,3,1980,Underground,/wiki/Etiop%C3%ADa_/_Plaza_de_la_Transparencia_metro_station,19.395586,-99.156268
Eugenia,3,1980,Underground,/wiki/Eugenia_metro_station,19.406637,-99.155753
FerrerÃ­a/Arena Ciudad de MÃ©xico,6,1983,Underground,/wiki/Ferrer%C3%ADa/Arena_Ciudad_de_M%C3%A9xico_metro_station,19.490746,-99.173841
Fray Servando,4,1982,Elevated,/wiki/Fray_Servando_metro_station,19.421633,-99.120541
Garibaldi / Lagunilla,"8, B",1994,Underground,/wiki/Garibaldi_/_Lagunilla_metro_station,19.4445,-99.1397
General Anaya,2,1970,At-grade,/wiki/General_Anaya_metro_station_(Mexico_City),19.353259,-99.145002
GÃ³mez FarÃ­as,1,1969,Underground,/wiki/G%C3%B3mez_Far%C3%ADas_metro_station,19.416472,-99.09035
Guelatao,A,1991,At-grade,/wiki/Guelatao_metro_station,19.385162,-99.03574
Guerrero,"3, B",1970,Underground,/wiki/Guerrero_metro_station,19.445146,-99.145389
Hangares,5,1981,Underground,/wiki/Hangares_metro_station,19.424142,-99.087496
Hidalgo,"2, 3",1970,Underground,/wiki/Hidalgo_metro_station,19.437295,-99.147105
Hospital 20 de Noviembre,12,2012,Underground,/wiki/Hospital_20_de_Noviembre_metro_station,19.372042,-99.171005
Hospital General,3,1970,Underground,/wiki/Hospital_General_metro_station_(Mexico_City),19.413578,-99.153886
Impulsora,B,2000,At-grade,/wiki/Impulsora_metro_station,19.485851,-99.048915
Indios Verdes,3,1979,At-grade,/wiki/Indios_Verdes_metro_station,19.495358,-99.119468
Instituto del PetrÃ³leo,"5, 6",1982,At-grade / Underground,/wiki/Instituto_del_Petr%C3%B3leo_metro_station,19.489573,-99.14526
Insurgentes,1,1969,Underground,/wiki/Insurgentes_metro_station,19.423292,-99.163177
Insurgentes Sur,12,2012,Underground,/wiki/Insurgentes_Sur_metro_station,19.373581,-99.178762
Isabel la CatÃ³lica,1,1969,Underground,/wiki/Isabel_la_Cat%C3%B3lica_metro_station,19.426732,-99.137685
Iztacalco,8,1994,At-grade,/wiki/Iztacalco_metro_station,19.388562,-99.112215
Iztapalapa,8,1994,Underground,/wiki/Iztapalapa_metro_station,19.357834,-99.093461
Jamaica,"4, 9",1982,Elevated / Underground,/wiki/Jamaica_metro_station,19.40900389,-99.12217111
JuanacatlÃ¡n,1,1970,Underground,/wiki/Juanacatl%C3%A1n_metro_station,19.41289,-99.182167
JuÃ¡rez,3,1970,Underground,/wiki/Ju%C3%A1rez_metro_station,19.433167,-99.147792
Lagunilla,B,1999,Underground,/wiki/Lagunilla_metro_station,19.443386,-99.131334
La Paz,A,1991,At-grade,/wiki/La_Paz_metro_station_(State_of_Mexico),19.350526,-98.960745
La Raza,"3, 5",1979,Underground / At-grade,/wiki/La_Raza_metro_station,19.470153,-99.136891
La Viga,8,1994,Underground,/wiki/La_Viga_metro_station,19.406495,-99.126248
La Villa-BasÃ­lica,6,1986,Underground,/wiki/La_Villa-Bas%C3%ADlica_metro_station,19.481522,-99.117923
LÃ¡zaro CÃ¡rdenas,9,1987,Underground,/wiki/L%C3%A1zaro_C%C3%A1rdenas_metro_station_(Mexico_City),19.40696,-99.144874
Lindavista,6,1986,Underground,/wiki/Lindavista_metro_station,19.487712,-99.13466
Lomas Estrella,12,2012,Elevated,/wiki/Lomas_Estrella_metro_station,19.322256,-99.096111
Los Reyes,A,1991,At-grade,/wiki/Los_Reyes_metro_station,19.358968,-98.976903
MartÃ­n Carrera,"4, 6",1981,At-grade / Underground,/wiki/Mart%C3%ADn_Carrera_metro_station,19.484921,-99.104404
Merced,1,1969,Underground,/wiki/Merced_metro_station,19.425558,-99.124639
Mexicaltzingo,12,2012,Underground,/wiki/Mexicaltzingo_metro_station,19.357671,-99.121852
Miguel Ãngel de Quevedo,3,1983,Underground,/wiki/Miguel_%C3%81ngel_de_Quevedo_metro_station,19.346395,-99.18103
Misterios,5,1982,Underground,/wiki/Misterios_metro_station,19.463315,-99.130797
Mixcoac,"7, 12",1985,Underground,/wiki/Mixcoac_metro_station,19.375891,-99.187531
Mixiuhca,9,1987,Underground,/wiki/Mixiuhca_metro_station,19.408478,-99.112902
Moctezuma,1,1969,Underground,/wiki/Moctezuma_metro_station,19.427218,-99.110305
Morelos,"4, B",1981,Elevated / Underground,/wiki/Morelos_metro_station,19.438974,-99.118266
MÃºzquiz,B,2000,At-grade,/wiki/M%C3%BAzquiz_metro_station,19.501629,-99.042048
Nativitas,2,1970,At-grade,/wiki/Nativitas_metro_station,19.379474,-99.140217
NezahualcÃ³yotl,B,2000,At-grade,/wiki/Nezahualc%C3%B3yotl_metro_station,19.473066,-99.054537
NiÃ±os HÃ©roes / Poder Judicial CDMX,3,1970,Underground,/wiki/Ni%C3%B1os_H%C3%A9roes_/_Poder_Judicial_CDMX_metro_station,19.419508,-99.150581
Nopalera,12,2012,Elevated,/wiki/Nopalera_metro_station,19.29997,-99.046049
